City ID,City,Country,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
3939761,Hualmay,PE,-11.0964,-77.6139,71.35,80,100,10.45
2017155,Saskylakh,RU,71.9167,114.0833,-31.54,100,6,2.04
2129766,Kamiiso,JP,41.8167,140.65,32.38,86,75,29.93
3883457,Lebu,CL,-37.6167,-73.65,56.91,90,0,7.52
2110227,Butaritari,KI,3.0707,172.7902,82.13,75,54,15.97
3874787,Punta Arenas,CL,-53.15,-70.9167,42.91,70,40,24.16
1015776,Bredasdorp,ZA,-34.5322,20.0403,69.12,83,100,8.05
2156643,Mount Gambier,AU,-37.8333,140.7667,69.76,45,100,3.69
2181997,Takaka,NZ,-40.85,172.8,73.56,49,0,5.3
6201424,Mataura,NZ,-46.1927,168.8643,56.48,43,20,5.64
2527087,Tiznit Province,MA,29.5833,-9.5,57.88,43,48,6.93
4111382,Forrest City,US,35.0081,-90.7898,48.06,62,7,9.15
2075265,Busselton,AU,-33.65,115.3333,79.05,52,0,10.74
2126123,Chokurdakh,RU,70.6333,147.9167,-34.15,100,53,3.71
3520994,Puerto Escondido,MX,15.85,-97.0667,81.43,74,0,4.61
2381334,Atar,MR,20.5169,-13.0499,66.22,21,96,9.42
4030556,Rikitea,PF,-23.1203,-134.9692,78.62,67,53,10.92
4032243,Vaini,TO,-21.2,-175.2,80.83,70,9,12.66
64013,Bosaso,SO,11.2842,49.1816,69.67,66,6,2.44
667303,Sfântu Gheorghe,RO,45.8667,25.7833,28.65,89,9,2.04
1735106,George Town,MY,5.4112,100.3354,78.96,87,20,0.0
3833367,Ushuaia,AR,-54.8,-68.3,40.66,75,40,28.77
2063036,Port Lincoln,AU,-34.7333,135.8667,66.97,84,97,3.18
3097367,Jawor,PL,51.0513,16.1935,39.81,83,2,9.62
2126199,Cherskiy,RU,68.75,161.3,-28.64,99,96,4.12
2155415,New Norfolk,AU,-42.7826,147.0587,75.27,44,93,3.76
3932145,Pisco,PE,-13.7,-76.2167,69.85,78,20,18.41
5282297,Bethel,US,41.3712,-73.414,21.31,55,0,3.0
2074865,Carnarvon,AU,-24.8667,113.6333,93.27,33,0,17.27
102651,Şabyā,SA,17.1495,42.6254,76.62,79,0,5.23
3466165,Cidreira,BR,-30.1811,-50.2056,70.88,81,0,7.07
4020109,Atuona,PF,-9.8,-139.0333,77.79,76,5,12.73
3366880,Hermanus,ZA,-34.4187,19.2345,66.79,84,100,9.93
1787144,Yanliang,CN,34.6592,109.2292,34.79,65,40,12.35
3652764,Puerto Ayora,EC,-0.7393,-90.3518,77.56,91,95,5.99
