City ID,City,Country,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
108410,Riyadh,SA,24.6877,46.7219,62.74,24,4,13.15
2122605,Okhotsk,RU,59.3833,143.3,7.92,77,100,5.46
2065594,Mount Isa,AU,-20.7333,139.5,89.37,23,0,10.36
4030556,Rikitea,PF,-23.1203,-134.9692,79.56,71,63,15.61
6122707,Rivers,CA,50.0308,-100.2403,34.75,91,100,16.49
935215,Saint-Philippe,RE,-21.3585,55.7679,72.16,81,8,5.57
5861897,Fairbanks,US,64.8378,-147.7164,-7.19,76,20,0.0
4020109,Atuona,PF,-9.8,-139.0333,78.22,77,18,16.22
3652764,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,98,1.99
2272491,Zwedru,LR,6.0667,-8.1281,71.55,99,56,2.48
6201424,Mataura,NZ,-46.1927,168.8643,62.47,65,96,4.68
350550,Qena,EG,26.1615,32.7183,48.31,58,1,7.52
5122534,Jamestown,US,42.097,-79.2353,28.87,68,100,9.22
515879,Oktyabr'skiy,RU,54.4815,53.471,19.83,95,100,6.17
6185377,Yellowknife,CA,62.456,-114.3525,-13.9,82,75,9.22
2374583,Bubaque,GW,11.2833,-15.8333,78.33,76,9,7.65
3372964,Lagoa,PT,39.05,-27.9833,58.62,73,91,5.64
3833367,Ushuaia,AR,-54.8,-68.3,44.08,91,96,4.9
5106841,Albany,US,42.6001,-73.9662,33.96,82,48,4.83
3052640,Fertőrákos,HU,47.7202,16.6504,43.54,75,12,4.83
5127305,Monroe,US,43.1501,-77.6831,32.97,82,100,19.57
5866583,Saint Paul Harbor,US,57.79,-152.4072,35.11,69,100,24.16
2206939,Bluff,NZ,-46.6,168.3333,62.8,77,37,11.72
4870380,Ottumwa,US,41.02,-92.4113,37.8,62,0,14.97
3645213,Coro,VE,11.4045,-69.6734,75.54,87,96,15.5
8010683,Porto Santo,PT,33.072,-16.3415,62.98,94,20,6.91
380348,Abū Zabad,SD,12.35,29.25,64.94,16,0,16.15
2146142,Townsville,AU,-19.25,146.8,85.08,66,40,6.91
2059470,Victor Harbor,AU,-35.5667,138.6167,69.31,65,100,13.62
2071860,Esperance,AU,-33.8667,121.9,87.64,34,99,19.66
1028918,Pemba,MZ,-12.974,40.5178,75.96,87,46,5.41
3369157,Cape Town,ZA,-33.9258,18.4232,62.33,72,0,6.91
3393536,Olinda,BR,-8.0089,-34.8553,83.93,65,40,5.75
3359638,Walvis Bay,NA,-22.9575,14.5053,70.75,83,34,6.91
1651810,Airai,TL,-8.9266,125.4092,68.22,80,100,1.61
1855342,Nishihara,JP,26.1842,127.7558,63.66,61,20,10.36
2015701,Taksimo,RU,56.3444,114.8794,-16.73,95,81,1.32
3904906,Santa Cruz de la Sierra,BO,-17.8,-63.1667,78.26,73,53,5.75
3395042,Mazagão,BR,-0.115,-51.2894,82.45,96,86,3.4
3374166,Tarrafal,CV,15.2833,-23.7667,77.79,75,98,11.95
3430863,Mar del Plata,AR,-38.0023,-57.5575,70.88,91,20,20.0
2122090,Pevek,RU,69.7008,170.3133,-28.55,97,100,8.55
6096551,Pangnirtung,CA,66.1451,-65.7125,-0.99,94,100,9.06
638936,Rovaniemi,FI,66.5,25.7167,24.21,93,100,10.36
2152659,Port Macquarie,AU,-31.4333,152.9167,79.9,53,62,13.94
921786,Mitsamiouli,KM,-11.3847,43.2844,81.23,80,97,10.67
